 [F] 703148    1980-01-06 05.34.58.jpg
 [F] 689021    1980-01-06 05.35.04.jpg
 [F] 1196799   1980-01-06 05.45.46.jpg
 [F] 1741917   1980-01-06 05.45.55.jpg
 [F] 1714491   1980-01-06 05.46.01.jpg
 [F] 1679783   1980-01-06 05.46.17.jpg
 [F] 1104095   1980-01-06 05.46.32.jpg
 [F] 1047101   1980-01-06 05.46.40.jpg
 [F] 1571130   1980-01-06 05.46.54.jpg
 [F] 929711    1980-01-06 05.47.38.jpg
 [F] 175775    1980-01-06 05.49.14.jpg
 [F] 521106    2011-07-31 12.48.56.jpg
 [F] 482754    2011-07-31 12.49.09.jpg
 [F] 774022    2011-07-31 14.18.37.jpg
 [F] 770210    2011-07-31 14.18.48.jpg
 [F] 511982    2011-07-31 15.57.37.jpg
 [F] 436874    2011-07-31 21.12.35.jpg
 [F] 472125    2011-07-31 21.12.46.jpg
 [F] 613886    2011-08-13 16.48.56.jpg
 [F] 431302    2011-08-13 16.50.57.jpg
 [F] 568578    2011-08-13 16.51.08.jpg
 [F] 484322    2011-08-13 16.51.15.jpg
 [F] 554902    2011-08-13 22.18.11.jpg
 [F] 584078    2011-08-13 23.49.31.jpg
 [F] 529454    2011-08-13 23.49.53.jpg
 [F] 550166    2011-08-13 23.50.05.jpg
 [F] 539942    2011-08-13 23.50.28.jpg
 [F] 526777    2011-08-13 23.50.45.jpg
 [F] 532938    2011-08-13 23.51.32.jpg
 [F] 368298    2011-08-13 23.51.43.jpg
 [F] 462158    2011-08-13 23.52.04.jpg
 [F] 507159    2011-08-13 23.52.22.jpg
 [F] 564002    2011-08-13 23.52.35.jpg
 [F] 568403    2011-08-13 23.52.53.jpg
 [F] 553583    2011-08-13 23.53.07.jpg
 [F] 604846    2011-08-13 23.57.37.jpg
 [F] 587050    2011-08-13 23.57.52.jpg
 [F] 510870    2011-08-13 23.58.05.jpg
 [F] 501262    2011-08-13 23.58.38.jpg
 [F] 267416    2011-08-14 00.02.15.jpg
 [F] 406114    2011-08-14 00.28.13.jpg
 [F] 513394    2011-08-14 00.28.26.jpg
 [F] 538150    2011-08-14 00.28.36.jpg
 [F] 476566    2011-08-14 00.29.02.jpg
 [F] 508370    2011-08-19 21.46.48.jpg
 [F] 427372    2011-08-19 21.47.51.jpg
 [F] 492586    2011-08-19 22.02.59.jpg
 [F] 559186    2011-08-19 22.03.16.jpg
 [F] 414670    2011-08-19 22.49.54.jpg
 [F] 404636    2011-08-19 22.50.53.jpg
 [F] 486866    2011-08-19 23.21.41.jpg
 [F] 431658    2011-08-19 23.54.36.jpg
 [F] 311185    2011-08-19 23.54.50.jpg
 [F] 728679    2011-08-20 02.02.44.mp4
 [F] 554514    2011-08-30 23.19.55.jpg
 [F] 564838    2011-08-30 23.20.24.jpg
 [F] 514794    2011-08-30 23.20.34.jpg
 [F] 555798    2011-09-04 00.10.24.jpg
 [F] 473086    2011-09-04 04.03.36.jpg
 [F] 526314    2011-09-08 14.44.59.jpg
 [F] 562838    2011-09-08 14.45.22.jpg
 [F] 400685    2011-09-17 00.42.42.jpg
 [F] 457418    2011-09-17 01.01.25.jpg
 [F] 519170    2011-09-17 02.04.11.jpg
 [F] 506690    2011-09-17 02.04.22.jpg
 [F] 1640935   2011-09-17 03.26.32.mp4
 [F] 1341969   2011-09-17 10.31.06.jpg
 [F] 843210    2011-09-17 11.14.41.jpg
 [F] 917766    2011-09-18 22.34.20.jpg
 [F] 862458    2011-09-18 22.35.15.jpg
 [F] 676114    2011-09-23 17.01.00.jpg
 [F] 548524    2011-09-23 17.01.55.jpg
 [F] 623926    2011-09-24 01.29.18.jpg
 [F] 595039    2011-09-24 01.44.56.jpg
 [F] 551578    2011-10-01 03.54.51.jpg
 [F] 653947    2011-10-10 12.53.56.jpg
 [F] 734982    2011-10-10 12.54.12.jpg
 [F] 1112962   2011-11-05 14.18.35.jpg
 [F] 1082773   2011-11-05 14.18.49-1.jpg
 [F] 1508905   2011-11-05 14.18.49-2.jpg
 [F] 965605    2011-11-05 14.23.40-2.jpg
 [F] 859913    2011-11-05 14.25.30.jpg
 [F] 709772    2011-11-05 14.25.40.jpg
 [F] 470479    2011-11-05 16.02.28.jpg
 [F] 792024    2011-11-05 16.04.59.jpg
 [F] 600224    2011-11-05 16.05.12.jpg
 [F] 679784    2011-11-05 16.05.26.jpg
 [F] 215042    2011-11-05 16.08.42.jpg
 [F] 1134571   2011-11-05 16.11.02.jpg
 [F] 1129284   2011-11-05 16.11.27.jpg
 [F] 2104690   2011-11-05 17.23.23-1.jpg
 [F] 1138146   2011-11-12 13.21.22.jpg
 [F] 811506    2011-11-12 13.21.49.jpg
 [F] 1110348   2011-11-12 13.22.49.jpg
 [F] 915614    2011-11-12 13.24.07.jpg
 [F] 941493    2011-11-12 13.24.12.jpg
 [F] 876229    2011-11-12 13.24.47.jpg
 [F] 986609    2011-11-12 13.25.05.jpg
 [F] 775007    2011-11-12 13.25.22.jpg
 [F] 1006829   2011-11-12 13.25.41.jpg
 [F] 634284    2011-11-15 22.20.29.jpg
 [F] 1030725   2011-11-19 20.35.38.jpg
 [F] 1098883   2011-11-19 21.01.39.jpg
 [F] 826947    2011-11-19 21.02.26.jpg
 [F] 710250    2011-11-19 21.02.33.jpg
 [F] 37966     2012-02-03 11.41.17.jpg
 [F] 1703808   2012-02-04 21.12.58.jpg
 [F] 6922      2012-02-06 14.20.44.jpg
 [F] 1907352   2012-02-16 16.01.10.jpg
 [F] 2059779   2012-02-21 13.53.13.jpg
 [F] 2061536   2012-02-21 13.53.26.jpg
 [F] 731021    2012-02-24 10.14.24.jpg
 [F] 2317317   2012-03-01 08.05.42.jpg
 [F] 2082114   2012-03-08 11.56.53.jpg
 [F] 1927887   2012-03-08 11.57.11.jpg
 [F] 1867343   2012-03-16 13.16.28.jpg
 [F] 1684003   2012-03-16 14.52.28.jpg
 [F] 1653838   2012-03-23 14.25.45.jpg
 [F] 2364267   2012-03-30 12.11.37.jpg
 [F] 2525041   2012-03-30 12.11.50.jpg
 [F] 1483231   2012-04-02 19.41.06.jpg
 [F] 1624926   2012-04-09 13.45.07.jpg
 [F] 1986931   2012-04-09 14.16.11.jpg
 [F] 1592121   2012-04-14 23.10.23.jpg
 [F] 1287304   2012-04-15 01.53.49.jpg
 [F] 1306354   2012-04-15 01.54.01.jpg
 [F] 2110172   2012-04-15 14.19.58.jpg
 [F] 2179875   2012-04-15 17.34.08.jpg
 [F] 1573984   2012-04-15 22.17.36.jpg
 [F] 1322837   2012-04-15 22.18.02.jpg
 [F] 747814    2012-04-15 22.22.53.jpg
 [F] 703864    2012-04-15 22.23.37.jpg
 [F] 760349    2012-04-15 22.25.36.jpg
 [F] 1410388   2012-04-16 00.14.21.jpg
 [F] 1642973   2012-04-16 00.15.17.jpg
 [F] 2241865   2012-04-16 14.57.14.jpg
 [F] 2739297   2012-04-17 00.04.50.mp4
 [F] 531839    2012-04-17 00.05.03.jpg
 [F] 1054543   2012-04-17 00.05.38.jpg
 [F] 849185    2012-04-17 00.05.53.jpg
 [F] 1205021   2012-04-17 00.06.03.jpg
 [F] 784566    2012-04-17 00.06.15.jpg
 [F] 1014920   2012-04-17 00.06.46.jpg
 [F] 969902    2012-04-17 08.41.21.jpg
 [F] 2177590   2012-04-17 19.24.54.jpg
 [F] 1915169   2012-04-17 19.25.19.jpg
 [F] 474886    2012-04-19 21.40.02.jpg
 [F] 535455    2012-04-19 21.40.12.jpg
 [F] 654249    2012-04-19 21.42.32.jpg
 [F] 762810    2012-04-23 19.12.13.jpg
 [F] 686451    2012-04-23 20.09.17.jpg
 [F] 620628    2012-04-23 20.10.16.jpg
 [F] 529559    2012-04-23 20.10.28.jpg
 [F] 1540391   2012-04-24 13.56.01.jpg
 [F] 1738078   2012-04-24 13.56.17.jpg
 [F] 1759450   2012-04-24 15.47.25.jpg
 [F] 909405    2012-04-24 15.48.46.jpg
 [F] 1727134   2012-04-24 15.49.28.jpg
 [F] 898167    2012-04-24 15.49.46.jpg
 [F] 1371110   2012-04-24 15.50.12.jpg
 [F] 2139491   2012-04-24 15.50.22.jpg
 [F] 2503367   2012-04-26 09.39.31.jpg
 [F] 2865173   2012-04-26 09.50.00.jpg
 [F] 2622098   2012-04-26 12.57.02.jpg
 [F] 2674240   2012-04-26 13.49.06.jpg
 [F] 51995     2012-04-26 13.51.15.jpg
 [F] 2550308   2012-04-26 15.15.19.jpg
 [F] 1644632   2012-04-27 13.44.04.jpg
 [F] 1483557   2012-04-27 14.24.29.jpg
 [F] 2837600   2012-05-01 17.22.29.jpg
 [F] 407909    2012-05-05 16.35.29.jpg
 [F] 970432    2012-05-05 16.36.05.jpg
 [F] 82099     2012-05-07 10.13.30.png
 [F] 169286    2012-05-07 10.14.34.png
 [F] 2866457   2012-05-14 19.01.54.jpg
 [F] 2301166   2012-05-14 19.02.16.jpg
 [F] 169542    2012-05-17 08.14.08.png
 [F] 2697066   2012-05-17 15.15.01.jpg
 [F] 1401877   2012-05-19 11.19.00.jpg
 [F] 711891    2012-05-21 18.04.45.jpg
 [F] 1583060   2012-05-21 18.04.55.jpg
 [F] 517983    2012-05-21 18.05.04.jpg
 [F] 1191046   2012-05-21 18.05.15.jpg
 [F] 1065247   2012-05-24 14.53.28.jpg
 [F] 838770    2012-05-24 14.53.38.jpg
 [F] 1065263   2012-05-24 14.53.59.jpg
 [F] 892332    2012-05-24 14.54.11.jpg
 [F] 834882    2012-05-24 14.54.19.jpg
 [F] 1911910   2012-05-24 14.55.42.jpg
 [F] 1452472   2012-05-24 14.56.24.jpg
 [F] 204047    2012-05-27 23.14.14.jpg
 [F] 224600    2012-05-27 23.14.37.jpg
 [F] 258658    2012-05-27 23.14.53.jpg
 [F] 1830415   2012-05-30 14.53.42.jpg
 [F] 2650493   2012-05-30 14.54.23.jpg
 [F] 1947510   2012-06-01 17.10.06.jpg
 [F] 1791810   2012-06-01 17.10.44.jpg
 [F] 468641    2012-06-02 22.03.08.jpg
 [F] 142604    2012-06-06 09.06.13.jpg
 [F] 1889653   2012-06-07 19.25.44.jpg
 [F] 2403184   2012-06-07 19.25.54.jpg
 [F] 903623    2012-06-08 17.37.05.jpg
 [F] 1392051   2012-06-08 17.37.33.jpg
 [F] 600432    2012-06-08 17.37.46.jpg
 [F] 2149769   2012-06-09 15.49.51.jpg
 [F] 233663    2012-06-11 17.29.19.jpg
 [F] 8952      2012-06-14 10.43.40.jpg
 [F] 1869384   2012-06-14 18.37.01.jpg
 [F] 1810913   2012-06-14 18.37.11.jpg
 [F] 1833498   2012-06-14 18.37.24.jpg
 [F] 1798124   2012-06-14 18.41.24.jpg
 [F] 1729452   2012-06-14 18.47.26.jpg
 [F] 2669645   2012-06-14 18.47.54.jpg
 [F] 2529210   2012-06-14 18.48.03.jpg
 [F] 920041    2012-06-14 21.27.31.jpg
 [F] 1179976   2012-06-15 22.26.50.jpg
 [F] 1106179   2012-06-15 22.26.56.jpg
 [F] 959135    2012-06-15 22.27.05.jpg
 [F] 279256    2012-06-16 01.28.02.png
 [F] 279252    2012-06-16 01.28.22.png
 [F] 733202    2012-06-16 02.29.00.jpg
 [F] 1005022   2012-06-22 09.56.18.jpg
 [F] 1863015   2012-06-22 09.56.34.jpg
 [F] 3012809   2012-06-23 15.28.31.jpg
 [F] 211378    2012-06-23 19.23.16.jpg
 [F] 143133    2012-06-23 19.23.34.jpg
 [F] 1949479   2012-06-23 20.58.05.jpg
 [F] 948448    2012-06-24 02.17.58.jpg
 [F] 999863    2012-06-24 02.18.17.jpg
 [F] 931952    2012-06-24 02.18.35.jpg
 [F] 987800    2012-06-24 02.19.02.jpg
 [F] 892155    2012-06-24 02.19.18.jpg
 [F] 967179    2012-06-24 02.19.28.jpg
 [F] 1694975   2012-06-26 13.07.43.jpg
 [F] 992647    2012-06-30 18.56.40.jpg
 [F] 2876607   2012-07-01 21.41.00.JPG
 [F] 2878910   2012-07-01 21.41.18.JPG
 [F] 2681817   2012-07-01 21.41.51.JPG
 [F] 2731632   2012-07-01 21.41.59.JPG
 [F] 2731116   2012-07-01 21.42.55.JPG
 [F] 2773955   2012-07-01 21.45.33.JPG
 [F] 2988277   2012-07-01 21.46.16.JPG
 [F] 2496700   2012-07-01 21.46.27.JPG
 [F] 2280260   2012-07-01 21.46.53.JPG
 [F] 2756692   2012-07-01 21.47.01.JPG
 [F] 2778856   2012-07-01 21.47.07.JPG
 [F] 2907847   2012-07-01 21.50.18.JPG
 [F] 2546929   2012-07-01 21.51.36.JPG
 [F] 779186    2012-07-02 13.14.15.jpg
 [F] 3024493   2012-07-03 17.37.00.jpg
 [F] 615530    2012-07-05 10.44.16.jpg
 [F] 1050585   2012-07-05 18.49.25.jpg
 [F] 1950139   2012-07-06 15.07.05.jpg
 [F] 925142    2012-07-06 15.07.15.jpg
 [F] 1720806   2012-07-11 19.24.01.jpg
 [F] 1309148   2012-07-11 19.24.23.jpg
 [F] 1833622   2012-07-11 19.25.08.jpg
 [F] 651164    2012-07-11 19.25.55.jpg
 [F] 138772    2012-07-11 21.56.28.png
 [F] 1300496   2012-07-11 22.00.06.jpg
 [F] 1754628   2012-07-13 12.59.10.jpg
 [F] 901575    2012-07-13 13.19.58.jpg
 [F] 128890    2012-07-13 13.20.20.jpg
 [F] 1529578   2012-07-13 18.30.47.jpg
 [F] 1604256   2012-07-13 18.31.26.jpg
 [F] 1995398   2012-07-14 16.44.26.jpg
 [F] 2239380   2012-07-15 17.48.16.mp4
 [F] 2170459   2012-07-17 00.22.17.jpg
 [F] 1306804   2012-07-17 00.22.34.jpg
 [F] 1472320   2012-07-17 00.24.17.jpg
